Description du problème,Label
La bande passante est saturée sur le lien 74 depuis ce matin.,Réseau
La connexion VPN avec le site 30 est interrompue fréquemment.,Réseau
Le processus d'indexation a échoué dans l'application 67.,Logiciel
La carte graphique du poste 27 surchauffe lors de l'utilisation.,Matériel
The application 86 displays an error message at launch.,Software
The graphics card in workstation 55 overheats during use.,Hardware
The database management system 98 has been down for a few hours.,Software
Le serveur 90 ne répond plus à cause d'une surcharge.,Réseau
L'application 82 affiche un message d'erreur au lancement.,Logiciel
The server 62 is no longer responding due to overload.,Network
L'application 33 affiche un message d'erreur au lancement.,Logiciel
The application 10 displays an error message at launch.,Software
The cooling system of 5 is defective.,Hardware
Le processus d'indexation a échoué dans l'application 94.,Logiciel
The cooling system of 36 is defective.,Hardware
Le switch réseau 4 a redémarré plusieurs fois de manière inattendue.,Réseau
The RAM in server 8 appears to be corrupted.,Hardware
VPN connection with site 51 is frequently interrupted.,Network
The server 1 is no longer responding due to overload.,Network
The indexing process failed in the application 29.,Software
Mise à jour critique pour le logiciel 59 non appliquée.,Logiciel
The server 84 is showing hard drive errors.,Hardware
Attempted network intrusion detected by surveillance system 91.,Security
Le système de refroidissement de 82 est défectueux.,Matériel
L'application 95 affiche un message d'erreur au lancement.,Logiciel
The RAM in server 24 appears to be corrupted.,Hardware
The application 18 displays an error message at launch.,Software
Une faille de sécurité a été détectée dans le système 36.,Sécurité
The application 8 displays an error message at launch.,Software
The application 32 displays an error message at launch.,Software
La carte graphique du poste 39 surchauffe lors de l'utilisation.,Matériel
VPN connection with site 61 is frequently interrupted.,Network
The application 48 displays an error message at launch.,Software
Bandwidth is saturated on the link 60 since this morning.,Network
La carte graphique du poste 60 surchauffe lors de l'utilisation.,Matériel
The server 3 is showing hard drive errors.,Hardware
The server 14 is no longer responding due to overload.,Network
The database management system 15 has been down for a few hours.,Software
Attempted network intrusion detected by surveillance system 13.,Security
Le système de gestion de base de données 9 est en panne depuis quelques heures.,Logiciel
La mémoire RAM dans le serveur 25 semble corrompue.,Matériel
Tentative d'intrusion sur le réseau détectée par le système de surveillance 41.,Sécurité
Le switch réseau 32 a redémarré plusieurs fois de manière inattendue.,Réseau
Critical update for the software 7 has not been applied.,Software
Le système de refroidissement de 89 est défectueux.,Matériel
The graphics card in workstation 20 overheats during use.,Hardware
Le certificat de sécurité du site web 45 est expiré.,Sécurité
Bandwidth is saturated on the link 84 since this morning.,Network
VPN connection with site 10 is frequently interrupted.,Network
Attempted network intrusion detected by surveillance system 10.,Security
The database management system 15 has been down for a few hours.,Software
Suspicious activity suspected on user account 10.,Security
Le système de gestion de base de données 14 est en panne depuis quelques heures.,Logiciel
La carte graphique du poste 33 surchauffe lors de l'utilisation.,Matériel
La mémoire RAM dans le serveur 73 semble corrompue.,Matériel
Le serveur 83 ne répond plus à cause d'une surcharge.,Réseau
The graphics card in workstation 12 overheats during use.,Hardware
Bandwidth is saturated on the link 23 since this morning.,Network
Le système de gestion de base de données 73 est en panne depuis quelques heures.,Logiciel
La mémoire RAM dans le serveur 7 semble corrompue.,Matériel
The database management system 26 has been down for a few hours.,Software
Le système de refroidissement de 61 est défectueux.,Matériel
The security certificate for the website 16 has expired.,Security
The indexing process failed in the application 25.,Software
Une activité anormale suspectée sur le compte utilisateur 9.,Sécurité
Attempted network intrusion detected by surveillance system 23.,Security
VPN connection with site 10 is frequently interrupted.,Network
The cooling system of 96 is defective.,Hardware
L'application 48 affiche un message d'erreur au lancement.,Logiciel
